PCA Components,Kernel,Accuracy,Best C,Best Gamma,Best Degree,Confusion Matrix
50,linear,0.8266666666666667,0.1,,,"[[460   2   7  49   3   0  53   0   7   1]
 [  2 560   5  22   3   0   0   0   1   0]
 [ 15   2 410  12  90   0  69   0   1   0]
 [ 21   4   9 526  11   0  17   0   2   0]
 [  0   1  73  27 441   1  68   0   1   0]
 [  2   0   0   0   0 537   0  34   3  25]
 [ 88   0  69  33  58   2 332   0  10   0]
 [  0   0   0   0   0  22   0 591   0  23]
 [  7   0   5   5   3  11  15   3 542   1]
 [  0   0   0   0   0  16   0  25   1 561]]"
50,rbf,0.8528333333333333,10.0,0.001,,"[[470   0  10  39   4   2  50   0   7   0]
 [  1 561   5  23   2   0   1   0   0   0]
 [ 12   2 442  13  70   0  58   0   2   0]
 [ 19   3   3 537  10   0  16   0   2   0]
 [  2   0  62  23 472   0  50   0   3   0]
 [  1   0   0   1   0 542   0  32   2  23]
 [ 89   0  60  20  54   0 357   0  12   0]
 [  0   0   0   0   0  10   0 598   0  28]
 [  2   0   2   6   3   4   3   3 569   0]
 [  0   0   0   0   0  11   0  23   0 569]]"
50,poly,0.8413333333333334,100.0,0.001,3.0,"[[454   1  14  42   4   0  63   0   4   0]
 [  3 559   5  23   2   0   1   0   0   0]
 [ 16   2 445  10  60   0  65   0   1   0]
 [ 19   3   6 527  11   0  23   0   1   0]
 [  1   1  77  19 453   0  56   0   5   0]
 [  0   0   0   0   0 545   1  29   2  24]
 [ 93   2  63  23  47   1 356   0   7   0]
 [  0   0   0   0   0  11   0 600   0  25]
 [  3   1   5   8   1   5  14   0 554   1]
 [  0   0   0   1   0  12   0  35   0 555]]"
100,linear,0.835,0.1,,,"[[472   1   8  36   3   1  53   0   7   1]
 [  5 560   4  20   3   0   0   0   1   0]
 [ 14   2 451   9  63   0  58   0   2   0]
 [ 22   6  11 522   9   0  17   0   3   0]
 [  2   0  88  25 432   0  62   0   3   0]
 [  1   0   0   0   0 543   0  37   5  15]
 [ 78   0  75  29  53   0 344   0  13   0]
 [  0   0   0   0   0  19   0 597   0  20]
 [ 10   0   9   5  15   5  18   5 525   0]
 [  0   0   0   0   0  14   0  24   1 564]]"
100,rbf,0.8561666666666666,10.0,0.001,,"[[474   0  11  31   4   1  54   0   6   1]
 [  2 563   4  21   2   0   1   0   0   0]
 [ 10   1 456  12  65   0  53   0   2   0]
 [ 22   3   6 529  14   0  14   0   2   0]
 [  2   0  58  23 463   0  63   0   3   0]
 [  1   0   0   0   0 551   0  32   1  16]
 [ 84   1  61  21  45   0 365   0  15   0]
 [  0   0   0   0   0  14   0 599   0  23]
 [  2   0   1   7   2   4   3   1 571   1]
 [  0   0   0   0   0   6   0  31   0 566]]"
100,poly,0.8446666666666667,10.0,0.001,2.0,"[[453   0  11  45   3   2  63   0   5   0]
 [  4 560   4  22   2   0   1   0   0   0]
 [  7   2 440  11  67   0  71   0   1   0]
 [ 19   3   3 527  15   0  22   0   1   0]
 [  2   0  67  21 448   1  72   0   1   0]
 [  1   1   0   0   0 548   0  33   1  17]
 [ 85   2  59  23  47   0 370   0   6   0]
 [  0   0   0   0   0  14   0 604   0  18]
 [  6   2   1   8   6   3   8   3 554   1]
 [  0   0   0   2   0   9   0  28   0 564]]"
200,linear,0.835,0.1,,,"[[475   4   9  32   3   0  50   0   8   1]
 [  9 561   4  15   3   0   0   0   1   0]
 [ 11   3 460  10  65   0  49   0   1   0]
 [ 32   6  13 509  12   0  16   0   2   0]
 [  2   1  71  21 446   0  66   0   5   0]
 [  1   0   0   0   0 541   0  39   3  17]
 [ 92   0  71  31  57   0 327   0  14   0]
 [  0   0   0   0   0  20   0 596   0  20]
 [  6   0   9   7   6   8  23   4 529   0]
 [  0   0   0   0   0  13   0  23   1 566]]"
200,rbf,0.8635,10.0,0.001,,"[[481   1   9  32   3   1  46   0   8   1]
 [  1 563   4  21   4   0   0   0   0   0]
 [ 11   1 468  11  56   0  50   0   2   0]
 [ 23   5   8 522  15   0  15   0   2   0]
 [  2   0  61  20 477   0  50   0   2   0]
 [  1   0   0   0   0 552   0  30   3  15]
 [ 82   0  56  23  44   0 369   0  18   0]
 [  0   0   0   0   0  12   0 606   0  18]
 [  2   0   3   7   3   4   2   2 569   0]
 [  0   0   0   0   0   5   0  24   0 574]]"
200,poly,0.8531666666666666,0.1,0.01,2.0,"[[469   0   8  41   4   2  55   0   3   0]
 [  3 562   4  20   2   0   2   0   0   0]
 [  8   1 454   9  63   0  63   0   1   0]
 [ 23   3   7 527  14   0  15   0   1   0]
 [  2   0  60  22 467   1  59   0   1   0]
 [  1   1   1   1   0 543   0  32   2  20]
 [ 89   2  57  23  42   0 373   0   6   0]
 [  0   0   0   0   0  14   0 605   0  17]
 [  3   2   0  11   5   5  11   2 553   0]
 [  0   0   0   2   0   6   0  29   0 566]]"
